date,channel,daypart,impressions,clicks,conversions,spend,cvr
2026-01-16,paid_search,afternoon,30906,1294,32,868.37,0.0254
2026-01-16,paid_search,early_morning,20195,837,14,522.51,0.01775
2026-01-16,paid_search,evening,15321,635,19,455.65,0.03008
2026-01-16,paid_search,late_night,8283,316,12,173.79,0.04086
2026-01-16,paid_search,midday,32608,1312,31,993.44,0.02417
2026-01-16,paid_search,morning,35553,1412,33,830.97,0.02392
2026-01-16,paid_search,prime,7619,275,10,178.81,0.03732
2026-01-16,paid_social,afternoon,126906,2301,31,1171.47,0.01366
2026-01-16,paid_social,early_morning,31480,626,6,349.23,0.01014
2026-01-16,paid_social,evening,119452,2232,32,1163.09,0.01435
2026-01-16,paid_social,late_night,19583,334,3,211.46,0.00902
2026-01-16,paid_social,midday,90837,1624,18,935.47,0.01109
2026-01-16,paid_social,morning,70825,1297,14,699.71,0.01132
2026-01-16,paid_social,prime,42943,728,10,409.91,0.0146
2026-01-16,programmatic_display,afternoon,108666,563,11,691.14,0.02048
2026-01-16,programmatic_display,early_morning,40297,210,2,271.32,0.01342
2026-01-16,programmatic_display,evening,94856,523,9,572.76,0.01845
2026-01-16,programmatic_display,late_night,19515,84,0,112.79,0.0102
2026-01-16,programmatic_display,midday,99215,539,10,640.56,0.01873
2026-01-16,programmatic_display,morning,68836,312,5,403.58,0.01849
2026-01-16,programmatic_display,prime,43239,193,3,241.15,0.01735
2026-01-16,youtube,afternoon,36151,328,9,598.42,0.02968
2026-01-16,youtube,early_morning,12886,105,2,235.76,0.01955
2026-01-16,youtube,evening,42615,387,12,717.04,0.0318
2026-01-16,youtube,late_night,7559,78,2,127.49,0.02761
2026-01-16,youtube,midday,39290,342,8,547.06,0.02389
2026-01-16,youtube,morning,27731,270,6,414.1,0.02578
2026-01-16,youtube,prime,25353,301,9,354.04,0.03228
2026-01-17,ctv,afternoon,7853,21,3,283.1,0.15332
2026-01-17,ctv,early_morning,2029,6,0,76.89,0.08357
2026-01-17,ctv,evening,17954,48,9,592.57,0.19875
2026-01-17,ctv,late_night,4629,15,2,185.25,0.1627
2026-01-17,ctv,midday,6070,19,2,247.1,0.13971
2026-01-17,ctv,morning,4906,14,1,179.62,0.13022
2026-01-17,ctv,prime,13614,40,8,431.88,0.22046
2026-01-17,paid_search,afternoon,34351,1066,23,803.52,0.02164
2026-01-17,paid_search,early_morning,19726,669,11,520.49,0.0168
2026-01-17,paid_search,evening,18315,705,20,392.37,0.02882
2026-01-17,paid_search,late_night,7303,304,11,183.29,0.03838
2026-01-17,paid_search,midday,33570,1512,44,779.25,0.02921
2026-01-17,paid_search,morning,36373,1470,35,839.8,0.02402
2026-01-17,paid_search,prime,8289,318,12,187.45,0.03966
2026-01-17,paid_social,afternoon,115723,1984,26,1203.14,0.01331
2026-01-17,paid_social,early_morning,31114,512,5,344.28,0.01021
2026-01-17,paid_social,evening,114364,2352,35,1184.77,0.01493
2026-01-17,paid_social,late_night,17016,367,3,214.35,0.0098
2026-01-17,paid_social,midday,84389,1693,20,841.14,0.01222
2026-01-17,paid_social,morning,64190,1154,13,741.16,0.0114
2026-01-17,paid_social,prime,33907,616,7,438.98,0.01288
2026-01-17,programmatic_display,afternoon,80942,331,6,581.13,0.02031
2026-01-17,programmatic_display,early_morning,31843,137,2,204.62,0.0148
2026-01-17,programmatic_display,evening,68823,310,6,489.74,0.01944
2026-01-17,programmatic_display,late_night,13611,68,0,105.61,0.01176
2026-01-17,programmatic_display,midday,74044,350,6,505.39,0.01938
2026-01-17,programmatic_display,morning,47312,225,3,339.17,0.01587
2026-01-17,programmatic_display,prime,28200,166,3,203.26,0.0181
2026-01-17,youtube,afternoon,46359,473,12,580.59,0.02613
2026-01-17,youtube,early_morning,15855,152,3,202.96,0.02189
2026-01-17,youtube,evening,57011,603,17,635.89,0.02911
2026-01-17,youtube,late_night,8394,77,1,124.23,0.0251
2026-01-17,youtube,midday,42302,413,10,542.06,0.02542
2026-01-17,youtube,morning,29022,387,7,395.54,0.01937
2026-01-17,youtube,prime,27863,290,8,351.97,0.0294
2026-01-18,ctv,afternoon,5558,14,2,212.0,0.15183
2026-01-18,ctv,early_morning,2108,6,0,69.17,0.12382
2026-01-18,ctv,evening,13707,45,9,502.29,0.20915
2026-01-18,ctv,late_night,3767,12,1,135.21,0.11311
2026-01-18,ctv,midday,4714,14,2,174.43,0.14523
2026-01-18,ctv,morning,3878,10,1,149.69,0.14407
2026-01-18,ctv,prime,11407,34,7,411.33,0.22348
2026-01-18,paid_search,afternoon,29551,1023,28,888.06,0.02775
2026-01-18,paid_search,early_morning,18955,850,15,484.68,0.01786
2026-01-18,paid_search,evening,13298,562,16,386.15,0.02998
2026-01-18,paid_search,late_night,6752,281,10,223.14,0.03654
2026-01-18,paid_search,midday,28311,1306,34,923.05,0.02611
2026-01-18,paid_search,morning,29130,1212,33,764.99,0.02764
2026-01-18,paid_search,prime,5986,241,9,176.07,0.03914
2026-01-18,paid_social,afternoon,84201,1699,21,917.85,0.01278
2026-01-18,paid_social,early_morning,27638,525,5,311.65,0.00998
2026-01-18,paid_social,evening,91297,1867,28,997.5,0.01519
2026-01-18,paid_social,late_night,14757,271,2,166.64,0.00956
2026-01-18,paid_social,midday,71666,1250,14,735.81,0.01165
2026-01-18,paid_social,morning,52751,881,10,605.59,0.01248
2026-01-18,paid_social,prime,28764,500,7,308.47,0.01445
2026-01-18,programmatic_display,afternoon,94410,429,7,573.78,0.01775
2026-01-18,programmatic_display,early_morning,40506,203,3,207.97,0.01574
2026-01-18,programmatic_display,evening,73397,406,7,443.16,0.018
2026-01-18,programmatic_display,late_night,16789,94,1,95.14,0.01439
2026-01-18,programmatic_display,midday,99042,467,9,521.7,0.01939
2026-01-18,programmatic_display,morning,59385,250,3,333.94,0.01472
2026-01-18,programmatic_display,prime,34397,172,2,206.62,0.01666
2026-01-18,youtube,afternoon,34056,349,10,545.03,0.03076
2026-01-18,youtube,early_morning,10207,95,1,193.28,0.01817
2026-01-18,youtube,evening,35160,372,10,564.87,0.02815
2026-01-18,youtube,late_night,6515,71,1,111.09,0.02447
2026-01-18,youtube,midday,27456,244,6,493.0,0.02717
2026-01-18,youtube,morning,20701,215,5,351.98,0.02469
2026-01-18,youtube,prime,18286,170,5,300.88,0.03101
2026-01-19,ctv,afternoon,7141,20,3,263.15,0.16285
2026-01-19,ctv,early_morning,1925,6,0,69.29,0.13163
2026-01-19,ctv,evening,14665,33,6,585.75,0.1868
2026-01-19,ctv,late_night,3766,12,1,141.7,0.14068
2026-01-19,ctv,midday,5312,13,2,190.42,0.15553
2026-01-19,ctv,morning,4040,10,1,172.83,0.12395
2026-01-19,ctv,prime,11757,34,7,396.76,0.20746
2026-01-19,paid_search,afternoon,32283,1208,32,858.51,0.02684
2026-01-19,paid_search,early_morning,17200,626,13,467.09,0.02094
2026-01-19,paid_search,evening,16609,562,14,441.32,0.02569
2026-01-19,paid_search,late_night,6907,248,9,178.52,0.03697
2026-01-19,paid_search,midday,31239,1366,35,837.56,0.02631
2026-01-19,paid_search,morning,32328,1577,39,783.95,0.02479
2026-01-19,paid_search,prime,7512,315,13,156.25,0.04163
2026-01-19,paid_social,afternoon,113707,2215,30,1530.26,0.01381
2026-01-19,paid_social,early_morning,36522,595,7,412.77,0.01208
2026-01-19,paid_social,evening,117825,2436,44,1368.27,0.0183
2026-01-19,paid_social,late_night,22209,354,2,214.91,0.00764
2026-01-19,paid_social,midday,94195,1547,17,1032.87,0.01162
2026-01-19,paid_social,morning,71991,1371,15,813.42,0.0114
2026-01-19,paid_social,prime,44954,852,11,488.65,0.01312
2026-01-19,programmatic_display,afternoon,127954,580,10,742.39,0.01727
2026-01-19,programmatic_display,early_morning,54991,263,3,241.16,0.01403
2026-01-19,programmatic_display,evening,122017,590,11,624.49,0.01867
2026-01-19,programmatic_display,late_night,22472,106,1,124.93,0.01155
2026-01-19,programmatic_display,midday,113743,509,9,585.58,0.01945
2026-01-19,programmatic_display,morning,80625,338,6,384.8,0.01987
2026-01-19,programmatic_display,prime,48925,274,4,252.71,0.01625
2026-01-19,youtube,afternoon,40944,378,9,677.34,0.026
2026-01-19,youtube,early_morning,12234,126,1,190.06,0.01544
2026-01-19,youtube,evening,37430,336,10,717.55,0.02981
2026-01-19,youtube,late_night,7077,68,1,121.46,0.02231
2026-01-19,youtube,midday,36979,360,10,610.98,0.02871
2026-01-19,youtube,morning,22141,227,5,433.66,0.02362
2026-01-19,youtube,prime,21635,190,5,333.21,0.03048
2026-01-20,ctv,afternoon,8434,29,4,290.83,0.14836
2026-01-20,ctv,early_morning,2446,7,0,76.32,0.08835
2026-01-20,ctv,evening,18343,58,10,575.48,0.17631
2026-01-20,ctv,late_night,5077,15,2,158.06,0.13898
2026-01-20,ctv,midday,7416,21,2,199.5,0.13079
2026-01-20,ctv,morning,5815,19,2,168.8,0.14659
2026-01-20,ctv,prime,13701,33,6,476.28,0.20327
2026-01-20,paid_search,afternoon,35275,1571,33,877.21,0.02143
2026-01-20,paid_search,early_morning,21757,808,15,492.09,0.01946
2026-01-20,paid_search,evening,18348,714,21,399.64,0.02966
2026-01-20,paid_search,late_night,8235,303,11,199.07,0.03885
2026-01-20,paid_search,midday,36635,1235,25,837.44,0.02061
2026-01-20,paid_search,morning,37286,1433,38,970.85,0.02695
2026-01-20,paid_search,prime,8391,388,15,196.62,0.04043
2026-01-20,paid_social,afternoon,132444,2870,35,1312.79,0.01228
2026-01-20,paid_social,early_morning,44264,804,7,388.43,0.00966
2026-01-20,paid_social,evening,152963,3071,45,1400.89,0.01467
2026-01-20,paid_social,late_night,22040,441,3,239.97,0.00786
2026-01-20,paid_social,midday,104151,1986,23,939.31,0.01183
2026-01-20,paid_social,morning,78041,1320,13,748.8,0.01047
2026-01-20,paid_social,prime,46492,843,11,447.24,0.01383
2026-01-20,programmatic_display,afternoon,112428,531,11,771.49,0.02198
2026-01-20,programmatic_display,early_morning,42184,184,2,299.59,0.01485
2026-01-20,programmatic_display,evening,98945,450,9,650.57,0.02049
2026-01-20,programmatic_display,late_night,16708,84,0,128.78,0.0112
2026-01-20,programmatic_display,midday,97921,519,9,705.14,0.01815
2026-01-20,programmatic_display,morning,69237,362,6,449.49,0.01746
2026-01-20,programmatic_display,prime,37434,202,3,250.02,0.01764
2026-01-20,youtube,afternoon,42739,508,14,700.87,0.02765
2026-01-20,youtube,early_morning,12844,125,2,212.2,0.01952
2026-01-20,youtube,evening,49058,488,14,669.57,0.0298
2026-01-20,youtube,late_night,7421,78,1,138.21,0.0247
2026-01-20,youtube,midday,34599,359,8,641.91,0.02387
2026-01-20,youtube,morning,28210,302,7,449.4,0.02324
2026-01-20,youtube,prime,24517,251,7,413.77,0.02959
2026-01-21,ctv,afternoon,7095,23,3,250.02,0.15937
2026-01-21,ctv,early_morning,2265,6,0,67.35,0.11158
2026-01-21,ctv,evening,16787,54,9,503.26,0.18174
2026-01-21,ctv,late_night,3707,11,1,124.1,0.1446
2026-01-21,ctv,midday,5709,16,2,176.44,0.14516
2026-01-21,ctv,morning,4958,16,2,165.15,0.15474
2026-01-21,ctv,prime,12810,40,8,395.88,0.2009
2026-01-21,paid_search,afternoon,40432,1682,35,895.92,0.02106
2026-01-21,paid_search,early_morning,24746,1007,19,512.35,0.01977
2026-01-21,paid_search,evening,19528,704,19,484.06,0.02833
2026-01-21,paid_search,late_night,9279,354,13,203.71,0.03929
2026-01-21,paid_search,midday,42941,1505,26,893.15,0.01736
2026-01-21,paid_search,morning,41952,1760,45,989.32,0.02565
2026-01-21,paid_search,prime,8924,378,15,213.48,0.04142
2026-01-21,paid_social,afternoon,131729,2473,37,1269.83,0.01503
2026-01-21,paid_social,early_morning,36147,579,4,362.2,0.00791
2026-01-21,paid_social,evening,125103,2026,30,1103.44,0.01485
2026-01-21,paid_social,late_night,19516,337,2,216.44,0.00825
2026-01-21,paid_social,midday,101483,1803,17,992.97,0.00947
2026-01-21,paid_social,morning,70709,1101,13,718.72,0.01196
2026-01-21,paid_social,prime,42132,658,8,390.06,0.01358
2026-01-21,programmatic_display,afternoon,110027,538,11,745.35,0.02112
2026-01-21,programmatic_display,early_morning,39613,149,1,250.43,0.01263
2026-01-21,programmatic_display,evening,89690,442,8,631.17,0.01893
2026-01-21,programmatic_display,late_night,19003,86,1,127.63,0.01242
2026-01-21,programmatic_display,midday,90222,441,8,732.54,0.01873
2026-01-21,programmatic_display,morning,62072,285,4,357.84,0.01522
2026-01-21,programmatic_display,prime,36847,208,3,243.17,0.01558
2026-01-21,youtube,afternoon,48664,503,14,724.87,0.02816
2026-01-21,youtube,early_morning,14291,129,2,241.09,0.02096
2026-01-21,youtube,evening,50509,519,16,801.06,0.03196
2026-01-21,youtube,late_night,7658,71,1,145.78,0.02488
2026-01-21,youtube,midday,38783,379,9,610.15,0.02585
2026-01-21,youtube,morning,27191,254,4,464.37,0.01782
2026-01-21,youtube,prime,21620,253,8,461.02,0.03198
2026-01-22,ctv,afternoon,9901,28,4,288.97,0.15482
2026-01-22,ctv,early_morning,3035,9,0,86.8,0.11067
2026-01-22,ctv,evening,21001,60,10,615.25,0.18185
2026-01-22,ctv,late_night,5739,18,2,174.84,0.14062
2026-01-22,ctv,midday,8215,22,3,235.98,0.14554
2026-01-22,ctv,morning,6596,19,2,182.02,0.12463
2026-01-22,ctv,prime,16539,48,10,497.45,0.21171
2026-01-22,paid_search,afternoon,26987,1088,27,826.78,0.0255
2026-01-22,paid_search,early_morning,15379,591,11,511.51,0.0198
2026-01-22,paid_search,evening,13915,499,14,432.77,0.02835
2026-01-22,paid_search,late_night,6057,225,9,214.74,0.04023
2026-01-22,paid_search,midday,24850,1107,27,894.52,0.02495
2026-01-22,paid_search,morning,26045,1097,30,782.92,0.02819
2026-01-22,paid_search,prime,6469,261,11,201.26,0.04287
2026-01-22,paid_social,afternoon,107329,2150,27,1296.52,0.01292
2026-01-22,paid_social,early_morning,29736,537,5,391.22,0.00986
2026-01-22,paid_social,evening,109591,2364,37,1444.24,0.01571
2026-01-22,paid_social,late_night,16901,310,2,232.78,0.0088
2026-01-22,paid_social,midday,78151,1229,13,1120.88,0.01081
2026-01-22,paid_social,morning,62917,1021,11,766.86,0.0111
2026-01-22,paid_social,prime,35275,637,8,438.8,0.01405
2026-01-22,programmatic_display,afternoon,172483,802,15,807.0,0.01946
2026-01-22,programmatic_display,early_morning,59242,282,3,314.83,0.01384
2026-01-22,programmatic_display,evening,134190,740,14,752.88,0.01947
2026-01-22,programmatic_display,late_night,28371,131,1,143.79,0.01072
2026-01-22,programmatic_display,midday,146087,682,14,748.38,0.02117
2026-01-22,programmatic_display,morning,101390,452,7,504.2,0.01645
2026-01-22,programmatic_display,prime,57028,286,5,293.42,0.01767
2026-01-22,youtube,afternoon,39995,414,11,681.47,0.02863
2026-01-22,youtube,early_morning,12539,108,2,252.01,0.0203
2026-01-22,youtube,evening,45216,413,12,753.83,0.0313
2026-01-22,youtube,late_night,8447,85,2,131.61,0.02466
2026-01-22,youtube,midday,35833,323,8,640.82,0.02526
2026-01-22,youtube,morning,23847,228,6,439.91,0.0269
2026-01-22,youtube,prime,25568,268,8,341.76,0.03293
2026-01-23,ctv,afternoon,10582,30,4,328.86,0.16055
2026-01-23,ctv,early_morning,2849,8,0,81.27,0.11135
2026-01-23,ctv,evening,23577,86,19,582.11,0.23125
2026-01-23,ctv,late_night,5749,17,2,181.68,0.13186
2026-01-23,ctv,midday,8515,23,3,231.25,0.13274
2026-01-23,ctv,morning,6326,17,1,195.8,0.11716
2026-01-23,ctv,prime,15036,41,8,516.09,0.20565
2026-01-23,paid_search,afternoon,34037,1353,37,931.49,0.02739
2026-01-23,paid_search,early_morning,18801,887,18,533.3,0.02094
2026-01-23,paid_search,evening,14453,489,13,487.88,0.0266
2026-01-23,paid_search,late_night,6947,270,10,201.09,0.03977
2026-01-23,paid_search,midday,27730,1132,25,910.88,0.02274
2026-01-23,paid_search,morning,28032,1255,35,898.13,0.0281
2026-01-23,paid_search,prime,7151,264,9,229.38,0.03773
2026-01-23,paid_social,afternoon,127847,2460,32,1470.92,0.0132
2026-01-23,paid_social,early_morning,36101,537,4,451.72,0.00912
2026-01-23,paid_social,evening,141004,2391,38,1583.46,0.01592
2026-01-23,paid_social,late_night,21181,403,3,247.14,0.0085
2026-01-23,paid_social,midday,109286,2201,28,1202.91,0.01295
2026-01-23,paid_social,morning,75336,1636,20,915.7,0.01233
2026-01-23,paid_social,prime,41685,790,9,535.95,0.01243
2026-01-23,programmatic_display,afternoon,111744,540,10,739.9,0.01961
2026-01-23,programmatic_display,early_morning,45155,194,2,269.68,0.015
2026-01-23,programmatic_display,evening,103657,441,9,688.19,0.02069
2026-01-23,programmatic_display,late_night,19947,111,1,135.12,0.01106
2026-01-23,programmatic_display,midday,108379,473,9,615.25,0.01963
2026-01-23,programmatic_display,morning,72969,356,6,403.88,0.01772
2026-01-23,programmatic_display,prime,35124,143,2,271.92,0.02059
2026-01-23,youtube,afternoon,35705,392,11,701.93,0.02944
2026-01-23,youtube,early_morning,12010,105,2,220.22,0.02323
2026-01-23,youtube,evening,45795,545,18,797.63,0.03334
2026-01-23,youtube,late_night,7199,68,1,138.66,0.02577
2026-01-23,youtube,midday,36161,264,7,578.68,0.02666
2026-01-23,youtube,morning,25792,265,7,426.69,0.02695
2026-01-23,youtube,prime,23497,206,7,385.46,0.03666
2026-01-24,ctv,afternoon,5962,17,2,236.82,0.14086
2026-01-24,ctv,early_morning,1832,4,0,71.48,0.08958
2026-01-24,ctv,evening,14582,50,11,486.96,0.2231
2026-01-24,ctv,late_night,3593,10,1,129.85,0.13768
2026-01-24,ctv,midday,5260,16,2,211.97,0.12719
2026-01-24,ctv,morning,4693,13,1,150.03,0.13366
2026-01-24,ctv,prime,10942,29,6,426.9,0.21726
2026-01-24,paid_search,afternoon,23993,915,22,789.79,0.02444
2026-01-24,paid_search,early_morning,13979,490,9,372.24,0.02003
2026-01-24,paid_search,evening,11549,333,8,379.62,0.02662
2026-01-24,paid_search,late_night,5104,177,7,182.65,0.04059
2026-01-24,paid_search,midday,27834,1142,24,665.18,0.02184
2026-01-24,paid_search,morning,21857,760,22,696.26,0.02954
2026-01-24,paid_search,prime,5540,241,10,154.82,0.04192
2026-01-24,paid_social,afternoon,105834,1911,20,1201.97,0.01078
2026-01-24,paid_social,early_morning,31908,724,7,340.79,0.00974
2026-01-24,paid_social,evening,112399,1766,27,1321.18,0.01581
2026-01-24,paid_social,late_night,19823,384,3,246.53,0.00987
2026-01-24,paid_social,midday,73514,1172,12,972.54,0.01082
2026-01-24,paid_social,morning,66095,1114,15,720.14,0.0136
2026-01-24,paid_social,prime,35370,600,8,419.06,0.01384
2026-01-24,programmatic_display,afternoon,82619,405,8,591.89,0.02044
2026-01-24,programmatic_display,early_morning,30694,166,2,215.69,0.01342
2026-01-24,programmatic_display,evening,65506,336,5,517.09,0.01685
2026-01-24,programmatic_display,late_night,14131,80,0,92.54,0.01102
2026-01-24,programmatic_display,midday,73655,350,7,509.19,0.02109
2026-01-24,programmatic_display,morning,46449,212,3,364.36,0.01751
2026-01-24,programmatic_display,prime,31048,143,2,220.07,0.01547
2026-01-24,youtube,afternoon,45418,453,10,597.63,0.02379
2026-01-24,youtube,early_morning,11714,115,2,185.95,0.02111
2026-01-24,youtube,evening,42151,436,11,650.4,0.02647
2026-01-24,youtube,late_night,7539,78,2,115.57,0.02651
2026-01-24,youtube,midday,42386,404,9,539.72,0.02321
2026-01-24,youtube,morning,28934,309,8,356.96,0.02709
2026-01-24,youtube,prime,24155,276,8,297.38,0.03196
2026-01-25,ctv,afternoon,8797,26,3,255.97,0.15315
2026-01-25,ctv,early_morning,2294,6,0,79.33,0.13377
2026-01-25,ctv,evening,16537,47,9,524.65,0.20257
2026-01-25,ctv,late_night,4518,14,1,137.82,0.11348
2026-01-25,ctv,midday,6249,20,3,201.86,0.16663
2026-01-25,ctv,morning,4863,13,1,185.76,0.13885
2026-01-25,ctv,prime,12519,43,9,448.36,0.22378
2026-01-25,paid_search,afternoon,31452,1532,31,761.21,0.02059
2026-01-25,paid_search,early_morning,18273,701,13,433.27,0.01994
2026-01-25,paid_search,evening,15761,684,19,378.0,0.02894
2026-01-25,paid_search,late_night,6222,248,9,179.95,0.03704
2026-01-25,paid_search,midday,28492,1015,23,719.55,0.02292
2026-01-25,paid_search,morning,31032,1212,29,715.13,0.02472
2026-01-25,paid_search,prime,6896,256,10,173.54,0.04074
2026-01-25,paid_social,afternoon,87771,1609,19,1034.23,0.01235
2026-01-25,paid_social,early_morning,28389,597,6,303.66,0.01042
2026-01-25,paid_social,evening,96534,1815,24,1062.71,0.01326
2026-01-25,paid_social,late_night,14163,238,1,161.1,0.00752
2026-01-25,paid_social,midday,60030,1101,11,697.79,0.01015
2026-01-25,paid_social,morning,51666,775,9,611.02,0.01207
2026-01-25,paid_social,prime,28958,574,7,365.16,0.01316
2026-01-25,programmatic_display,afternoon,98591,427,7,625.53,0.0164
2026-01-25,programmatic_display,early_morning,38235,189,2,226.95,0.01585
2026-01-25,programmatic_display,evening,91564,464,9,546.94,0.01983
2026-01-25,programmatic_display,late_night,14727,69,0,98.46,0.01124
2026-01-25,programmatic_display,midday,75042,397,7,509.79,0.01944
2026-01-25,programmatic_display,morning,52926,295,5,377.05,0.01719
2026-01-25,programmatic_display,prime,28298,168,3,202.1,0.01803
2026-01-25,youtube,afternoon,43205,443,11,624.65,0.0253
2026-01-25,youtube,early_morning,15830,153,3,206.16,0.0207
2026-01-25,youtube,evening,47727,509,15,661.66,0.03136
2026-01-25,youtube,late_night,9036,79,2,126.61,0.02616
2026-01-25,youtube,midday,37775,392,10,561.88,0.02561
2026-01-25,youtube,morning,34888,372,8,396.75,0.02273
2026-01-25,youtube,prime,25617,279,8,353.37,0.0291
2026-01-26,ctv,afternoon,10448,27,4,308.34,0.18262
2026-01-26,ctv,early_morning,3306,11,0,92.38,0.08852
2026-01-26,ctv,evening,22142,70,14,766.93,0.20362
2026-01-26,ctv,late_night,6450,17,2,185.53,0.1516
2026-01-26,ctv,midday,8816,31,4,267.96,0.16021
2026-01-26,ctv,morning,7354,21,2,209.26,0.12096
2026-01-26,ctv,prime,18222,54,11,584.11,0.20429
2026-01-26,paid_search,afternoon,26551,1124,28,887.68,0.02509
2026-01-26,paid_search,early_morning,17043,776,20,542.52,0.02648
2026-01-26,paid_search,evening,15920,805,19,425.83,0.02443
2026-01-26,paid_search,late_night,6617,243,9,208.2,0.03888
2026-01-26,paid_search,midday,27668,1099,27,859.38,0.02537
2026-01-26,paid_search,morning,31468,1340,36,896.0,0.02761
2026-01-26,paid_search,prime,5885,210,8,209.92,0.03943
2026-01-26,paid_social,afternoon,106247,2184,25,1377.69,0.01165
2026-01-26,paid_social,early_morning,30632,509,4,386.65,0.00958
2026-01-26,paid_social,evening,114683,1971,28,1347.55,0.0147
2026-01-26,paid_social,late_night,17040,297,2,192.05,0.00839
2026-01-26,paid_social,midday,75493,1432,15,894.04,0.01108
2026-01-26,paid_social,morning,60962,1032,11,793.13,0.01125
2026-01-26,paid_social,prime,31826,603,7,464.44,0.0131
2026-01-26,programmatic_display,afternoon,88676,405,9,681.19,0.02258
2026-01-26,programmatic_display,early_morning,37907,168,2,247.91,0.01394
2026-01-26,programmatic_display,evening,78119,327,5,500.35,0.01801
2026-01-26,programmatic_display,late_night,14712,76,0,103.4,0.01141
2026-01-26,programmatic_display,midday,78870,374,6,557.71,0.0165
2026-01-26,programmatic_display,morning,52978,275,5,361.17,0.01972
2026-01-26,programmatic_display,prime,32746,192,3,235.1,0.0171
2026-01-26,youtube,afternoon,39173,443,11,542.16,0.02669
2026-01-26,youtube,early_morning,14441,139,3,195.46,0.02229
2026-01-26,youtube,evening,45972,454,14,598.56,0.03155
2026-01-26,youtube,late_night,7600,83,2,121.4,0.02501
2026-01-26,youtube,midday,37185,361,10,509.97,0.02786
2026-01-26,youtube,morning,25918,256,6,344.0,0.02552
2026-01-26,youtube,prime,22348,176,6,316.3,0.03468
2026-01-27,ctv,afternoon,9137,32,4,296.95,0.14509
2026-01-27,ctv,early_morning,2324,6,0,87.62,0.09529
2026-01-27,ctv,evening,18051,54,10,722.57,0.19586
2026-01-27,ctv,late_night,4333,14,2,186.83,0.14335
2026-01-27,ctv,midday,6301,18,2,254.22,0.13876
2026-01-27,ctv,morning,5825,19,2,210.06,0.1338
2026-01-27,ctv,prime,13052,36,7,544.76,0.20787
2026-01-27,paid_search,afternoon,30371,1311,32,852.46,0.025
2026-01-27,paid_search,early_morning,17654,693,12,572.69,0.01808
2026-01-27,paid_search,evening,14611,493,11,459.0,0.02424
2026-01-27,paid_search,late_night,6549,258,9,213.38,0.03613
2026-01-27,paid_search,midday,31430,1447,34,815.3,0.02408
2026-01-27,paid_search,morning,27518,969,22,897.74,0.02356
2026-01-27,paid_search,prime,6470,258,10,210.52,0.04161
2026-01-27,paid_social,afternoon,154939,2980,39,1289.03,0.01321
2026-01-27,paid_social,early_morning,41213,842,8,431.64,0.00964
